6.791837513446807861e-02 7.887634634971618652e-02
8.194886893033981323e-02 9.134773910045623779e-02
9.799125045537948608e-02 1.072591841220855713e-01
1.143194288015365601e-01 1.179478988051414490e-01
1.079266443848609924e-01 1.214606463909149170e-01
1.154564842581748962e-01 1.246451139450073242e-01
1.059408858418464661e-01 1.249717772006988525e-01
1.053815111517906189e-01 1.305819004774093628e-01
1.225389093160629272e-01 1.325224488973617554e-01
1.127320379018783569e-01 1.335757076740264893e-01
1.256982535123825073e-01 1.342249214649200439e-01
1.268681287765502930e-01 1.388092190027236938e-01
1.383495032787322998e-01 1.426325440406799316e-01
1.227372959256172180e-01 1.501441299915313721e-01
1.501042544841766357e-01 1.613937169313430786e-01
1.259265691041946411e-01 1.615918874740600586e-01
1.340677738189697266e-01 1.646930277347564697e-01
1.523021608591079712e-01 1.665201187133789062e-01
1.708585172891616821e-01 1.750989258289337158e-01
1.798532456159591675e-01 1.875290423631668091e-01
1.717659682035446167e-01 1.883895695209503174e-01
1.610635817050933838e-01 1.916976571083068848e-01
1.645690798759460449e-01 1.955657303333282471e-01
1.637695431709289551e-01 2.012360543012619019e-01
1.899361014366149902e-01 2.046809494495391846e-01
1.728246808052062988e-01 2.068530023097991943e-01
1.932279616594314575e-01 2.176665812730789185e-01
1.755466312170028687e-01 2.185153514146804810e-01
1.757270544767379761e-01 2.188455462455749512e-01
2.030636370182037354e-01 2.239312827587127686e-01
2.245838344097137451e-01 2.348723858594894409e-01
2.324971407651901245e-01 2.428350001573562622e-01
1.971118897199630737e-01 2.455211281776428223e-01
2.294504046440124512e-01 2.457659095525741577e-01
1.588942557573318481e-01 2.466970682144165039e-01
2.201558053493499756e-01 2.472751140594482422e-01
1.908522248268127441e-01 2.476099729537963867e-01
2.306953668594360352e-01 2.503883540630340576e-01
2.346022725105285645e-01 2.594423890113830566e-01
2.391845285892486572e-01 2.741504311561584473e-01
1.913619637489318848e-01 2.889707982540130615e-01
2.940903007984161377e-01 2.954277098178863525e-01
2.594599425792694092e-01 3.030458390712738037e-01
2.034569233655929565e-01 1.332647204399108887e+00
